Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,460841,452530,-1.07409,53.965278,12,3,2,1,30/01/2012,2,18:30:00,189,E06000014,6,0,2,30,3,4,6,0,0,0,6,1,2,0,0,1,2,E01013369
2.01E+12,464166,454745,-1.022949,53.984782,12,2,2,1,01/02/2012,4,17:30:00,189,E06000014,5,95,6,60,3,4,6,0,0,0,6,5,2,0,0,2,1,E01013437
2.01E+12,458410,449772,-1.111667,53.940772,12,3,2,1,02/02/2012,5,08:55:00,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013358
2.01E+12,464105,455395,-1.023742,53.990631,12,3,2,2,06/02/2012,2,10:07:00,189,E06000014,3,64,1,50,1,2,3,1237,0,0,1,7,3,0,0,2,1,E01013437
2.01E+12,458797,452169,-1.105312,53.96227,12,3,1,2,07/02/2012,3,08:23:00,189,E06000014,5,405,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,E01013390
2.01E+12,456577,451114,-1.13934,53.953036,12,3,1,1,10/02/2012,6,05:14:00,189,E06000014,6,5910,6,30,0,-1,-1,0,0,0,4,3,3,0,0,1,2,E01013442
2.01E+12,457205,451585,-1.129683,53.9572,12,3,3,1,10/02/2012,6,08:45:00,189,E06000014,6,2710,6,20,0,-1,-1,0,0,0,1,3,4,0,0,1,1,E01013336
2.01E+12,460761,450928,-1.075627,53.950891,12,3,1,1,10/02/2012,6,16:33:00,189,E06000014,3,19,6,30,0,-1,-1,0,0,1,1,8,4,0,0,1,1,E01013364
2.01E+12,460517,451825,-1.079167,53.95898,12,3,1,1,11/02/2012,7,20:24:00,189,E06000014,6,7210,6,30,7,4,6,0,0,0,4,1,2,0,0,1,1,E01013367
2.01E+12,463052,460558,-1.038732,54.037158,12,2,1,1,12/02/2012,1,12:13:00,189,E06000014,5,90,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013438
2.01E+12,460725,451951,-1.075973,53.960088,12,3,2,1,08/02/2012,4,17:10:00,189,E06000014,6,7210,6,30,3,4,6,0,0,0,4,1,3,0,0,1,2,E01013367
2.01E+12,458715,454002,-1.106209,53.978752,12,3,2,1,11/02/2012,7,17:00:00,189,E06000014,6,3210,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013434
2.01E+12,464437,454935,-1.018777,53.986456,12,3,1,1,18/02/2012,7,18:25:00,189,E06000014,5,95,6,60,0,-1,-1,0,0,0,7,1,1,0,0,2,1,E01013437
2.01E+12,459668,451496,-1.092169,53.956122,12,3,2,1,20/02/2012,2,08:17:00,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01013416
2.01E+12,457943,448211,-1.119076,53.926796,12,3,1,1,21/02/2012,3,05:45:00,189,E06000014,3,64,6,40,3,2,3,1036,0,0,4,1,1,0,0,2,1,E01013421
2.01E+12,461033,453925,-1.070885,53.977792,12,3,2,1,20/02/2012,2,14:45:00,189,E06000014,5,90,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013406
2.01E+12,460048,452308,-1.086219,53.963375,12,3,2,1,23/02/2012,5,20:00:00,189,E06000014,3,19,6,30,3,4,6,3110,0,0,4,1,1,0,0,1,1,E01013366
2.01E+12,457241,450851,-1.129272,53.950599,12,3,1,1,24/02/2012,6,21:48:00,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,4,1,2,0,2,1,1,E01013445
2.01E+12,461559,451331,-1.063388,53.954418,12,3,2,1,24/02/2012,6,16:15:00,189,E06000014,3,1079,6,30,3,4,6,7810,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,462678,451279,-1.046349,53.953817,12,3,2,1,27/02/2012,2,17:00:00,189,E06000014,3,1079,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01013401
2.01E+12,460927,458185,-1.071649,54.016087,12,3,2,1,28/02/2012,3,16:50:00,189,E06000014,5,92,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01013373
2.01E+12,460357,451555,-1.081659,53.956572,12,3,2,1,01/03/2012,5,14:44:00,189,E06000014,4,1227,6,30,3,4,6,7110,0,0,1,1,1,4,0,1,1,E01013367
2.01E+12,460042,449918,-1.08678,53.941898,12,3,2,1,05/03/2012,2,08:55:00,189,E06000014,5,289,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013414
2.01E+12,460387,451288,-1.081254,53.954169,12,3,4,1,05/03/2012,2,13:10:00,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,456178,447143,-1.146148,53.917392,12,3,2,2,07/03/2012,4,13:00:00,189,E06000014,5,291,6,30,6,4,6,6710,0,0,1,1,1,0,0,2,1,E01013424
2.01E+12,461471,454586,-1.064074,53.98368,12,3,2,1,07/03/2012,4,18:24:00,189,E06000014,6,3610,6,30,3,4,6,3610,0,0,4,1,1,0,0,1,1,E01013405
2.01E+12,457405,450060,-1.126922,53.943472,12,3,1,1,07/03/2012,4,17:10:00,189,E06000014,6,5610,6,30,3,4,6,5610,0,0,1,1,1,0,0,1,2,E01013449
2.01E+12,455653,447323,-1.154108,53.919066,12,3,2,2,08/03/2012,5,07:00:00,189,E06000014,3,1237,6,60,5,4,3,64,0,0,1,1,2,0,0,2,1,E01013424
2.01E+12,457785,450111,-1.121123,53.943889,12,3,1,1,10/03/2012,7,12:30:00,189,E06000014,5,413,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013443
2.01E+12,457188,450929,-1.130065,53.951306,12,3,2,1,08/03/2012,5,18:45:00,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01013445
2.01E+12,459011,452841,-1.10192,53.968284,12,2,1,1,12/03/2012,2,17:15:00,189,E06000014,3,1176,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013346
2.01E+12,459605,452705,-1.092893,53.966994,12,3,2,1,13/03/2012,3,17:35:00,189,E06000014,3,19,6,30,3,4,6,3110,0,0,1,1,1,0,0,1,1,E01013344
2.01E+12,457592,451440,-1.123813,53.955854,12,3,2,1,14/03/2012,4,08:33:00,189,E06000014,6,5710,1,30,1,4,4,1224,0,0,1,1,1,0,0,1,1,E01013441
2.01E+12,466840,449590,-0.983305,53.938118,12,3,1,1,16/03/2012,6,15:02:00,189,E06000014,4,1228,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.01E+12,462840,444169,-1.04534,53.889901,12,3,3,1,15/03/2012,5,14:47:00,189,E06000014,3,19,6,60,3,4,6,5010,0,0,1,1,1,0,0,2,1,E01013450
2.01E+12,461515,452561,-1.063811,53.965477,12,3,2,1,15/03/2012,5,13:49:00,189,E06000014,5,408,6,30,6,4,6,7510,0,1,1,1,1,0,0,1,1,E01013383
2.01E+12,456871,452242,-1.13465,53.963141,12,3,2,1,19/03/2012,2,08:45:00,189,E06000014,5,413,6,30,3,4,6,2710,0,0,1,1,1,0,0,1,2,E01013337
2.01E+12,459302,455537,-1.096961,53.99248,12,3,2,1,19/03/2012,2,18:20:00,189,E06000014,6,3310,6,30,3,4,6,0,0,0,5,1,1,0,0,1,1,E01013431
2.01E+12,462244,451279,-1.052962,53.953869,12,3,2,1,20/03/2012,3,08:50:00,189,E06000014,3,1079,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013403
2.01E+12,458973,451251,-1.102807,53.954,12,3,2,1,20/03/2012,3,15:50:00,189,E06000014,3,59,6,30,3,4,6,5710,0,0,1,1,1,0,0,1,2,E01013397
2.01E+12,460115,454843,-1.084699,53.986149,12,1,1,1,20/03/2012,3,20:40:00,189,E06000014,4,1363,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013431
2.01E+12,461739,453549,-1.060197,53.974329,12,3,2,2,26/03/2012,2,18:20:00,189,E06000014,3,1036,6,30,3,4,6,4010,0,0,1,1,1,0,0,1,1,E01013385
2.01E+12,456708,446664,-1.138168,53.91303,12,3,2,1,26/03/2012,2,20:00:00,189,E06000014,6,5310,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013425
2.01E+12,460507,451822,-1.07932,53.958954,12,2,1,1,27/03/2012,3,10:50:00,189,E06000014,6,7210,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,460245,452587,-1.083162,53.96586,12,3,3,1,28/03/2012,4,12:15:00,189,E06000014,4,1363,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013366
2.01E+12,459928,451868,-1.088134,53.959435,12,3,2,1,28/03/2012,4,15:02:00,189,E06000014,3,1036,6,30,3,2,4,1227,0,0,1,1,1,0,0,1,2,E01013415
2.01E+12,459694,452628,-1.091552,53.966292,12,3,2,1,23/03/2012,6,09:00:00,189,E06000014,3,19,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013344
2.01E+12,467618,453835,-0.970516,53.976165,12,3,1,2,29/03/2012,5,22:50:00,189,E06000014,3,166,6,60,0,-1,-1,0,0,0,6,1,1,0,7,2,1,E01013351
2.01E+12,460673,451333,-1.076888,53.95454,12,3,2,1,30/03/2012,6,14:20:00,189,E06000014,6,7210,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,461649,452607,-1.06176,53.965874,12,3,2,1,31/03/2012,7,00:02:00,189,E06000014,5,408,6,30,3,4,6,7510,0,0,1,1,1,0,0,1,1,E01013380
2.01E+12,461827,451083,-1.059355,53.952157,12,3,1,1,28/03/2012,4,15:10:00,189,E06000014,5,295,6,30,6,4,5,409,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,460773,451161,-1.075398,53.952983,12,3,2,1,28/03/2012,4,10:15:00,189,E06000014,5,295,6,30,3,4,3,19,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,462836,444116,-1.045411,53.889426,12,1,1,1,04/04/2012,4,20:25:00,189,E06000014,3,19,6,60,0,-1,-1,0,0,8,6,1,1,0,0,2,1,E01013450
2.01E+12,457442,450578,-1.126261,53.948124,12,3,2,2,05/06/2012,3,12:30:00,189,E06000014,5,413,6,30,3,4,6,5711,0,0,1,1,1,0,0,1,1,E01013445
2.01E+12,461221,451191,-1.068566,53.9532,12,2,2,1,01/04/2012,1,11:10:00,189,E06000014,6,7810,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,464810,456679,-1.012718,54.002082,12,3,2,2,07/04/2012,7,10:00:00,189,E06000014,3,64,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013437
2.01E+12,457974,452260,-1.117837,53.96318,12,3,2,1,07/04/2012,7,14:20:00,189,E06000014,6,2810,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013392
2.01E+12,458568,455488,-1.108165,53.992123,12,3,2,1,04/04/2012,4,12:45:00,189,E06000014,3,1237,6,60,1,4,6,0,0,0,1,1,1,0,0,2,1,E01013430
2.01E+12,460045,452310,-1.086265,53.963394,12,3,2,1,02/04/2012,2,07:15:00,189,E06000014,3,19,6,30,3,4,6,3110,0,0,1,1,1,0,0,1,2,E01013366
2.01E+12,458109,452177,-1.115795,53.962419,12,3,2,1,06/04/2012,6,15:20:00,189,E06000014,3,59,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013393
2.01E+12,458338,448969,-1.112917,53.933564,12,3,1,1,10/04/2012,3,22:55:00,189,E06000014,3,1036,6,30,1,4,6,0,0,4,4,1,1,0,0,1,1,E01013355
2.01E+12,459132,455479,-1.099565,53.991978,12,3,2,1,11/04/2012,4,21:20:00,189,E06000014,6,3310,1,30,1,4,6,0,0,0,4,1,2,0,0,1,1,E01013431
2.01E+12,460317,453124,-1.081959,53.970677,12,3,2,1,10/04/2012,3,15:00:00,189,E06000014,4,1363,6,30,2,4,6,0,0,0,1,2,2,0,0,1,1,E01013343
2.01E+12,460352,451072,-1.08183,53.952232,12,3,1,1,15/04/2012,1,18:15:00,189,E06000014,6,4810,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013418
2.01E+12,462719,453475,-1.045273,53.973546,12,3,2,3,17/04/2012,3,12:03:00,189,E06000014,5,95,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013388
2.01E+12,463948,451980,-1.026852,53.959961,12,3,2,1,17/04/2012,3,15:20:00,189,E06000014,5,175,6,60,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013420
2.01E+12,463697,451262,-1.030827,53.95354,12,3,2,1,19/04/2012,5,16:05:00,189,E06000014,3,1079,6,40,1,4,6,0,0,0,1,2,2,0,0,1,1,E01013378
2.01E+12,460311,452723,-1.082129,53.967074,12,3,2,1,20/04/2012,6,07:10:00,189,E06000014,4,1363,6,30,0,-1,-1,0,0,0,1,1,1,6,0,1,1,E01013366
2.01E+12,460667,452342,-1.076779,53.963609,12,3,2,1,21/04/2012,7,17:30:00,189,E06000014,3,1036,6,30,3,4,6,7310,0,4,1,1,2,0,0,1,1,E01013369
2.01E+12,461201,451086,-1.068892,53.952259,12,3,2,1,25/04/2012,4,13:25:00,189,E06000014,5,295,6,30,3,4,6,7910,0,0,1,5,2,0,0,1,1,E01013363
2.01E+12,459873,453664,-1.08862,53.975582,12,3,2,1,28/04/2012,7,00:30:00,189,E06000014,6,3110,6,30,3,4,6,3110,0,0,4,1,1,0,0,1,1,E01013347
2.01E+12,462613,452703,-1.047048,53.966621,12,3,4,1,28/04/2012,7,02:04:00,189,E06000014,6,4110,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013389
2.01E+12,457286,450787,-1.128598,53.950019,12,3,2,1,30/04/2012,2,16:05:00,189,E06000014,5,413,1,30,2,4,6,5610,0,0,1,1,1,0,0,1,1,E01013447
2.01E+12,457774,450122,-1.121289,53.943989,12,3,1,1,30/04/2012,2,17:26:00,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013443
2.01E+12,460249,451659,-1.083284,53.95752,12,2,1,1,01/05/2012,3,22:45:00,189,E06000014,4,1227,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013366
2.01E+12,461847,451306,-1.059005,53.954159,12,3,2,1,03/05/2012,5,09:25:00,189,E06000014,3,1079,6,30,6,2,5,409,0,0,1,1,1,0,0,1,1,E01013400
2.01E+12,460342,451978,-1.081804,53.960376,12,3,1,1,24/04/2012,3,23:50:00,189,E06000014,6,7210,6,30,0,-1,-1,0,0,0,4,8,2,0,0,1,2,E01013367
2.01E+12,459711,455974,-1.090638,53.99636,12,3,2,4,04/05/2012,6,10:15:00,189,E06000014,4,1363,1,30,1,4,3,1237,0,0,1,1,1,0,0,2,2,E01013431
2.01E+12,460882,450416,-1.073886,53.946275,12,3,1,1,01/05/2012,3,08:30:00,189,E06000014,3,19,6,30,3,4,6,4810,0,0,4,1,1,0,0,1,2,E01013362
2.01E+12,455879,451501,-1.149904,53.956589,12,3,2,1,05/05/2012,7,12:15:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013422
